"","Body_type","number_of_seats","length_mm","curb_weight_kg","maximum_torque_n_m","injection_type","cylinder_layout","number_of_cylinders","compression_ratio","engine_type","valves_per_cylinder","boost_type","engine_placement","engine_hp","drive_wheels","number_of_gears","transmission","fuel_grade","Fuel_Economy"
"67598",4,"5","4659","1239","155",41,54,4,9,16,4,9,9,110,30,5,36,"95",6.3
"67599",4,"5","4659","1227","145",41,54,4,9,16,4,9,9,85,30,5,36,"95",6.7
"67600",4,"5","4659","1231","155",41,54,4,9,16,4,9,9,90,30,5,36,"95",6.3
"67601",4,"5","4659","1415","250",45,54,4,9,17,4,167,9,110,30,7,37,"diesel",4.3
"67602",4,"5","4659","1448","340",45,54,4,9,17,4,167,9,150,30,6,37,"diesel",4.6
"67603",4,"5","4659","1395","250",45,54,4,9,17,4,167,9,110,30,5,36,"diesel",4.1
"67604",4,"5","4659","1425","340",45,54,4,9,17,4,167,9,150,30,6,36,"diesel",4.1
"67658",6,"4","3529","930","140",44,54,3,9,17,2,167,9,61,30,5,35,"diesel",3
"67659",6,"4","3529","854","140",44,54,3,9,17,2,167,9,61,30,5,36,"diesel",3
"67660",6,"4","3524","1054","152",41,54,4,9,16,4,9,9,125,30,6,36,"95",7.3
"67661",6,"4","3524","978","152",41,54,4,9,16,4,167,9,125,30,5,36,"95",7
"67662",6,"4","3527","956","86",42,54,4,9,16,2,9,9,50,30,5,36,"95",5.8
"67663",6,"4","3527","1024","126",41,54,4,9,16,4,9,9,75,30,4,35,"95",7.2
"67664",6,"4","3527","900","130",44,54,4,9,16,4,9,9,105,30,5,36,"95",4.9
"67665",6,"4","3527","1008","126",41,54,4,9,16,4,9,9,100,30,5,36,"95",6.6
"67666",6,"4","3527","990","126",41,54,4,9,16,4,9,9,75,30,5,36,"95",6.2
"67667",6,"4","3527","970","116",41,54,4,9,16,2,9,9,60,30,5,36,"95",6.1
"67668",6,"4","3527","1055","195",44,54,3,9,17,2,167,9,75,30,5,36,"diesel",4.3
"67669",6,"4","3527","1043","115",44,54,4,9,17,2,9,9,60,30,5,36,"diesel",4.4
