"","left daughter","right daughter","split var","split point","status","prediction"
"3409",3994,3995,"highway_fuel_per_100km_l",7.2,-3,9
"3410",0,0,NA,0,-1,9
"3411",0,0,NA,0,-1,9
"3412",0,0,NA,0,-1,8.98648285739862
"3413",3996,3997,"cylinder_bore_mm",77,-3,8.98648285739862
"3414",0,0,NA,0,-1,8.98648285739862
"3415",3998,3999,"Year_from",1979.5,-3,8.99975754004302
"3416",4000,4001,"X",15715,-3,8.98648285739862
"3417",0,0,NA,0,-1,9
"3418",0,0,NA,0,-1,9
"3419",4002,4003,"curb_weight_kg",5.5,-3,9
"3420",0,0,NA,0,-1,9
"3421",0,0,NA,0,-1,9
"3422",0,0,NA,0,-1,9
"3423",4004,4005,"X",0,-3,9
"3424",4006,4007,"Year_from",8.15,-3,9
"3425",0,0,NA,0,-1,9
"3426",0,0,NA,0,-1,9
"3427",4008,4009,"engine_hp",0,-3,9
"3428",4010,4011,"Year_from",0,-3,9
"3429",0,0,NA,0,-1,9
"3430",0,0,NA,0,-1,9
"3431",4012,4013,"number_of_seats",1985,-3,9
"3432",0,0,NA,0,-1,8.98648285739862
"3433",0,0,NA,0,-1,8.98648285739862
"3434",4014,4015,"length_mm",0,-3,8.98648285739862
"3435",0,0,NA,0,-1,8.98648285739862
"3436",4016,4017,"number_of_seats",13.2,-3,9
"3437",0,0,NA,0,-1,9
"3438",4018,4019,"acceleration_0_100_km.h_s",9.95,-3,9
"3439",0,0,NA,0,-1,9
"3440",0,0,NA,0,-1,8.98648285739862
"3441",4020,4021,"number_of_seats",0,-3,9
"3442",0,0,NA,0,-1,9
"3443",4022,4023,"number_of_cylinders",4.5,-3,9
"3444",0,0,NA,0,-1,9
"3445",4024,4025,"Year_from",1978.5,-3,9
"3446",4026,4027,"engine_hp",155,-3,9
"3447",0,0,NA,0,-1,9
"3448",0,0,NA,0,-1,9
"3449",0,0,NA,0,-1,9
"3450",0,0,NA,0,-1,9
"3451",4028,4029,"maximum_torque_n_m",29.05,-3,9
"3452",0,0,NA,0,-1,9
"3453",4030,4031,"X",13156.5,-3,9
"3454",0,0,NA,0,-1,9
"3455",4032,4033,"city_fuel_per_100km_l",18.25,-3,9
"3456",4034,4035,"capacity_cm3",11.75,-3,9
"3457",0,0,NA,0,-1,9
"3458",4036,4037,"mixed_fuel_consumption_per_100_km_l",21.05,-3,9
"3459",4038,4039,"maximum_torque_n_m",13.15,-3,9
"3460",4040,4041,"highway_fuel_per_100km_l",9.2,-3,9
"3461",4042,4043,"acceleration_0_100_km.h_s",101,-3,9
"3462",0,0,NA,0,-1,8.98648285739862
"3463",4044,4045,"engine_hp",232.5,-3,9
"3464",0,0,NA,0,-1,8.98648285739862
"3465",4046,4047,"number_of_cylinders",117.5,-3,9
"3466",4048,4049,"engine_hp",0,-3,9
"3467",0,0,NA,0,-1,9
"3468",4050,4051,"number_of_gears",11333.5,-3,9
"3469",4052,4053,"Year_from",1969.5,-3,9
"3470",4054,4055,"X",0,-3,9
"3471",0,0,NA,0,-1,9
"3472",4056,4057,"stroke_cycle_mm",85,-3,9
"3473",4058,4059,"X",0,-3,9
"3474",0,0,NA,0,-1,9
"3475",4060,4061,"X",10079,-3,9
"3476",4062,4063,"maximum_torque_n_m",3.5,-3,9
"3477",0,0,NA,0,-1,9
"3478",4064,4065,"maximum_torque_n_m",2.5,-3,9
"3479",0,0,NA,0,-1,9
"3480",0,0,NA,0,-1,9
"3481",4066,4067,"engine_hp",0,-3,9
"3482",4068,4069,"cylinder_bore_mm",101,-3,9
"3483",4070,4071,"curb_weight_kg",1.47404840169596,-3,9
"3484",4072,4073,"engine_hp",2.5,-3,9
"3485",4074,4075,"mixed_fuel_consumption_per_100_km_l",1974,-3,9
"3486",4076,4077,"mixed_fuel_consumption_per_100_km_l",20.9,-3,9
"3487",0,0,NA,0,-1,9
"3488",4078,4079,"turnover_of_maximum_torque_rpm",2.5,-3,9
