"","left daughter","right daughter","split var","split point","status","prediction"
"4046",4634,4635,"cylinder_bore_mm",83,-3,9
"4047",4636,4637,"city_fuel_per_100km_l",7.85,-3,9
"4048",4638,4639,"length_mm",0,-3,9
"4049",0,0,NA,0,-1,9
"4050",4640,4641,"acceleration_0_100_km.h_s",8.55,-3,9
"4051",0,0,NA,0,-1,9
"4052",0,0,NA,0,-1,9
"4053",0,0,NA,0,-1,9
"4054",4642,4643,"height_mm",1.5,-3,9
"4055",0,0,NA,0,-1,9
"4056",4644,4645,"highway_fuel_per_100km_l",0,-3,9
"4057",0,0,NA,0,-1,9
"4058",0,0,NA,0,-1,9
"4059",4646,4647,"maximum_torque_n_m",0,-3,9
"4060",0,0,NA,0,-1,9
"4061",4648,4649,"turnover_of_maximum_torque_rpm",1.5,-3,9
"4062",0,0,NA,0,-1,9
"4063",0,0,NA,0,-1,9
"4064",0,0,NA,0,-1,9
"4065",0,0,NA,0,-1,9
"4066",0,0,NA,0,-1,9
"4067",4650,4651,"mixed_fuel_consumption_per_100_km_l",8.35,-3,9
"4068",0,0,NA,0,-1,8.98648285739862
"4069",0,0,NA,0,-1,8.98648285739862
"4070",0,0,NA,0,-1,8.98648285739862
"4071",0,0,NA,0,-1,8.98648285739862
"4072",0,0,NA,0,-1,9
"4073",4652,4653,"cylinder_bore_mm",3,-3,9
"4074",0,0,NA,0,-1,9
"4075",4654,4655,"Year_from",2006.5,-3,9
"4076",4656,4657,"turnover_of_maximum_torque_rpm",1.5,-3,9
"4077",0,0,NA,0,-1,9
"4078",0,0,NA,0,-1,9
"4079",4658,4659,"turnover_of_maximum_torque_rpm",1.5,-3,9
"4080",4660,4661,"maximum_torque_n_m",3.5,-3,9
"4081",4662,4663,"turnover_of_maximum_torque_rpm",18.25,-3,9
